date,weather,temperature_c,weather_code,precipitation_sum,snowfall_sum
2025-05-02,rainy,12.1,51,0.1,0.0
2025-05-03,rainy,10.5,61,8.6,0.0
2025-05-04,clear,12.2,1,0.0,0.0
2025-05-05,rainy,10.9,51,0.4,0.0
2025-05-06,cloudy,12.9,3,0.0,0.0
2025-05-07,rainy,12.8,51,0.1,0.0
2025-05-08,cloudy,15.2,3,0.0,0.0
2025-05-09,rainy,14.3,65,28.2,0.0
2025-05-10,rainy,12.3,55,6.2,0.0
2025-05-11,cloudy,13.4,3,0.0,0.0
2025-05-12,clear,15.3,0,0.0,0.0
2025-05-13,cloudy,18.1,3,0.0,0.0
2025-05-14,rainy,19.2,51,0.2,0.0
2025-05-15,rainy,17.9,55,4.8,0.0
2025-05-16,rainy,18.4,63,20.6,0.0
2025-05-17,rainy,17.5,61,2.6,0.0
2025-05-18,cloudy,14.1,3,0.0,0.0
2025-05-19,rainy,15.3,51,0.2,0.0
2025-05-20,rainy,20.5,51,0.3,0.0
2025-05-21,rainy,23.5,51,0.2,0.0
2025-05-22,rainy,22.1,53,0.7,0.0
2025-05-23,rainy,20.0,55,1.3,0.0
2025-05-24,rainy,15.5,51,0.6,0.0
2025-05-25,cloudy,16.3,2,0.0,0.0
2025-05-26,cloudy,18.6,3,0.0,0.0
2025-05-27,cloudy,19.7,3,0.0,0.0
2025-05-28,rainy,19.5,55,1.2,0.0
2025-05-29,rainy,20.9,51,0.7,0.0
2025-05-30,clear,22.7,1,0.0,0.0
2025-05-31,cloudy,21.6,3,0.0,0.0
2025-06-01,cloudy,22.0,3,0.0,0.0
2025-06-02,rainy,20.5,51,0.9,0.0
2025-06-03,rainy,20.4,51,0.1,0.0
2025-06-04,rainy,20.1,51,0.1,0.0
2025-06-05,cloudy,21.1,3,0.0,0.0
2025-06-06,cloudy,23.2,3,0.0,0.0
2025-06-07,cloudy,22.7,3,0.0,0.0
2025-06-08,rainy,24.2,51,0.4,0.0
2025-06-09,cloudy,22.9,3,0.0,0.0
2025-06-10,rainy,20.9,53,0.9,0.0
2025-06-11,cloudy,21.8,3,0.0,0.0
2025-06-12,cloudy,24.7,3,0.0,0.0
2025-06-13,rainy,23.5,53,1.4,0.0
2025-06-14,rainy,24.6,53,0.6,0.0
2025-06-15,rainy,24.9,63,10.1,0.0
2025-06-16,rainy,22.6,63,9.5,0.0
2025-06-17,cloudy,23.3,3,0.0,0.0
2025-06-18,cloudy,24.2,3,0.0,0.0
2025-06-19,rainy,26.6,51,1.1,0.0
2025-06-20,rainy,23.0,63,48.0,0.0
2025-06-21,rainy,21.0,51,1.8,0.0
2025-06-22,cloudy,21.3,3,0.0,0.0
2025-06-23,cloudy,23.5,3,0.0,0.0
2025-06-24,rainy,24.1,53,0.9,0.0
2025-06-25,rainy,20.7,63,12.0,0.0
2025-06-26,rainy,21.7,51,0.5,0.0
2025-06-27,rainy,23.4,51,0.7,0.0
2025-06-28,rainy,24.7,63,10.5,0.0
2025-06-29,rainy,25.8,51,1.2,0.0
2025-06-30,rainy,26.2,51,1.1,0.0
2025-07-01,rainy,26.3,61,5.4,0.0
2025-07-02,rainy,26.0,51,1.0,0.0
2025-07-03,rainy,26.4,51,0.7,0.0
2025-07-04,rainy,26.0,51,0.8,0.0
2025-07-05,rainy,26.8,51,0.4,0.0
2025-07-06,rainy,27.2,51,0.5,0.0
2025-07-07,rainy,27.7,51,1.1,0.0
2025-07-08,clear,30.0,1,0.0,0.0
2025-07-09,clear,30.9,1,0.0,0.0
2025-07-10,cloudy,30.8,3,0.0,0.0
2025-07-11,clear,29.4,1,0.0,0.0
2025-07-12,cloudy,30.2,3,0.0,0.0
2025-07-13,rainy,26.9,55,2.6,0.0
2025-07-14,rainy,23.6,65,43.7,0.0
2025-07-15,rainy,22.1,63,16.3,0.0
2025-07-16,rainy,22.3,65,47.7,0.0
2025-07-17,rainy,23.4,63,29.2,0.0
2025-07-18,rainy,24.0,65,54.5,0.0
2025-07-19,rainy,23.8,65,43.8,0.0
2025-07-20,rainy,26.5,63,23.0,0.0
2025-07-21,rainy,26.8,51,1.6,0.0
2025-07-22,rainy,26.9,55,4.4,0.0
2025-07-23,cloudy,27.2,3,0.0,0.0
2025-07-24,cloudy,28.0,3,0.0,0.0
2025-07-25,cloudy,30.0,3,0.0,0.0
2025-07-26,cloudy,31.9,3,0.0,0.0
2025-07-27,rainy,32.4,51,0.1,0.0
2025-07-28,clear,31.8,1,0.0,0.0
2025-07-29,rainy,32.3,51,0.4,0.0
2025-07-30,cloudy,31.9,3,0.0,0.0
2025-07-31,rainy,31.7,51,0.1,0.0
2025-08-01,cloudy,31.3,3,0.0,0.0
2025-08-02,cloudy,31.1,3,0.0,0.0
2025-08-03,rainy,29.7,63,3.5,0.0
2025-08-04,rainy,26.8,61,4.5,0.0
2025-08-05,cloudy,26.9,3,0.0,0.0
2025-08-06,rainy,25.9,63,12.1,0.0
2025-08-07,rainy,26.3,53,1.3,0.0
2025-08-08,rainy,25.6,51,0.6,0.0
2025-08-09,rainy,24.3,61,6.5,0.0
2025-08-10,cloudy,25.6,3,0.0,0.0
2025-08-11,rainy,25.2,51,0.1,0.0
2025-08-12,cloudy,26.4,3,0.0,0.0
2025-08-13,rainy,24.8,65,47.5,0.0
2025-08-14,rainy,24.9,63,33.7,0.0
2025-08-15,rainy,26.3,53,1.3,0.0
2025-08-16,rainy,26.8,51,0.4,0.0
2025-08-17,rainy,26.6,51,0.9,0.0
2025-08-18,rainy,27.2,51,1.2,0.0
2025-08-19,rainy,27.4,51,1.8,0.0
2025-08-20,rainy,27.4,53,3.5,0.0
2025-08-21,rainy,28.2,51,0.4,0.0
2025-08-22,cloudy,27.9,3,0.0,0.0
2025-08-23,rainy,28.8,51,0.3,0.0
2025-08-24,rainy,29.9,51,0.4,0.0
2025-08-25,rainy,28.3,63,18.2,0.0
2025-08-26,rainy,25.8,65,22.1,0.0
2025-08-27,cloudy,25.7,3,0.0,0.0
2025-08-28,rainy,26.5,51,1.0,0.0
2025-08-29,rainy,27.2,65,33.0,0.0
2025-08-30,rainy,26.8,61,5.2,0.0
2025-08-31,rainy,26.7,61,6.6,0.0
2025-09-01,rainy,24.8,63,17.5,0.0
2025-09-02,cloudy,24.2,3,0.0,0.0
2025-09-03,cloudy,25.9,3,0.0,0.0
2025-09-04,rainy,24.9,63,22.7,0.0
2025-09-05,rainy,26.3,51,0.4,0.0
2025-09-06,rainy,25.8,65,36.2,0.0
2025-09-07,rainy,24.2,53,1.0,0.0
2025-09-08,rainy,23.2,51,0.2,0.0
2025-09-09,rainy,23.2,51,0.4,0.0
2025-09-10,cloudy,23.5,3,0.0,0.0
2025-09-11,cloudy,24.2,3,0.0,0.0
2025-09-12,rainy,22.6,63,8.2,0.0
2025-09-13,rainy,22.6,65,46.2,0.0
2025-09-14,rainy,23.3,51,0.1,0.0
2025-09-15,cloudy,24.3,3,0.0,0.0
2025-09-16,rainy,23.7,63,14.5,0.0
2025-09-17,rainy,22.1,65,30.3,0.0
2025-09-18,rainy,21.2,51,0.3,0.0
2025-09-19,rainy,19.0,63,13.0,0.0
2025-09-20,rainy,19.3,65,33.3,0.0
2025-09-21,cloudy,20.3,3,0.0,0.0
2025-09-22,cloudy,19.9,3,0.0,0.0
2025-09-23,cloudy,20.8,3,0.0,0.0
2025-09-24,rainy,20.9,65,43.8,0.0
2025-09-25,rainy,21.3,53,0.7,0.0
2025-09-26,cloudy,20.5,3,0.0,0.0
2025-09-27,cloudy,21.7,3,0.0,0.0
2025-09-28,rainy,20.2,63,24.3,0.0
2025-09-29,cloudy,19.2,3,0.0,0.0
2025-09-30,cloudy,18.9,3,0.0,0.0
2025-10-01,rainy,19.3,61,1.8,0.0
2025-10-02,cloudy,20.7,3,0.0,0.0
2025-10-03,rainy,20.4,53,2.7,0.0
2025-10-04,cloudy,21.0,3,0.0,0.0
2025-10-05,rainy,20.8,61,4.1,0.0
2025-10-06,rainy,18.3,63,33.8,0.0
2025-10-07,rainy,18.4,63,15.5,0.0
2025-10-08,cloudy,20.4,3,0.0,0.0
2025-10-09,rainy,19.6,51,0.1,0.0
2025-10-10,rainy,17.5,63,19.9,0.0
2025-10-11,rainy,20.4,63,21.7,0.0
2025-10-12,rainy,18.3,53,1.0,0.0
2025-10-13,rainy,16.0,63,25.2,0.0
2025-10-14,rainy,16.5,51,2.4,0.0
2025-10-15,rainy,19.0,63,10.7,0.0
2025-10-16,rainy,19.4,61,6.5,0.0
2025-10-17,rainy,18.8,63,5.3,0.0
2025-10-18,rainy,15.4,63,13.2,0.0
2025-10-19,rainy,14.2,51,0.3,0.0
2025-10-20,cloudy,9.1,3,0.0,0.0
2025-10-21,cloudy,8.5,3,0.0,0.0
2025-10-22,rainy,11.5,51,0.2,0.0
2025-10-23,rainy,14.0,51,0.4,0.0
2025-10-24,cloudy,14.5,3,0.0,0.0
2025-10-25,rainy,13.4,51,0.2,0.0
2025-10-26,rainy,12.2,51,0.2,0.0
2025-10-27,cloudy,6.8,3,0.0,0.0
2025-10-28,clear,6.6,0,0.0,0.0
2025-10-29,cloudy,9.7,2,0.0,0.0
2025-10-30,cloudy,11.1,3,0.0,0.0
2025-10-31,rainy,13.1,53,0.8,0.0
2025-11-01,rainy,11.8,53,1.2,0.0
2025-11-02,cloudy,7.7,3,0.0,0.0
2025-11-03,clear,5.3,0,0.0,0.0
2025-11-04,cloudy,8.3,2,0.0,0.0
2025-11-05,cloudy,9.9,3,0.0,0.0
2025-11-06,cloudy,10.8,3,0.0,0.0
2025-11-07,cloudy,12.0,3,0.0,0.0
2025-11-08,cloudy,12.4,3,0.0,0.0
2025-11-09,rainy,11.9,51,0.1,0.0
2025-11-10,cloudy,7.5,3,0.0,0.0
2025-11-11,cloudy,7.6,3,0.0,0.0
2025-11-12,cloudy,9.1,3,0.0,0.0
2025-11-13,cloudy,9.9,3,0.0,0.0
2025-11-14,clear,7.6,0,0.0,0.0
2025-11-15,cloudy,7.9,3,0.0,0.0
2025-11-16,rainy,10.0,51,0.4,0.0
2025-11-17,cloudy,3.4,3,0.0,0.0
2025-11-18,cloudy,0.8,3,0.0,0.0
2025-11-19,clear,1.9,0,0.0,0.0
2025-11-20,cloudy,6.3,3,0.0,0.0
2025-11-21,cloudy,6.0,3,0.0,0.0
2025-11-22,cloudy,8.2,3,0.0,0.0
2025-11-23,rainy,9.6,51,0.5,0.0
2025-11-24,rainy,11.0,51,0.5,0.0
2025-11-25,rainy,6.7,61,5.0,0.0
2025-11-26,cloudy,5.0,3,0.0,0.0
2025-11-27,rainy,4.9,63,9.5,0.0
2025-11-28,clear,1.5,1,0.0,0.0
2025-11-29,rainy,4.3,51,0.2,0.0
2025-11-30,rainy,10.4,51,1.3,0.0
2025-12-01,rainy,4.9,51,0.1,0.0
2025-12-02,cloudy,-0.7,3,0.0,0.0
2025-12-03,cloudy,-6.6,3,0.0,0.0
2025-12-04,snow,-5.0,73,1.3,0.91
2025-12-05,cloudy,-4.8,2,0.0,0.0
2025-12-06,rainy,1.0,51,0.6,0.0
2025-12-07,rainy,5.3,51,0.1,0.0
2025-12-08,cloudy,1.5,3,0.0,0.0
2025-12-09,cloudy,0.9,3,0.0,0.0
2025-12-10,cloudy,3.3,3,0.0,0.0
2025-12-11,rainy,2.9,63,11.2,0.0
2025-12-12,cloudy,-0.0,3,0.0,0.0
2025-12-13,snow,1.2,75,9.5,4.2
2025-12-14,cloudy,-0.8,3,0.0,0.0
2025-12-15,cloudy,-0.1,3,0.0,0.0
2025-12-16,rainy,1.6,51,2.5,0.0
2025-12-17,cloudy,1.6,3,0.0,0.0
2025-12-18,cloudy,0.1,3,0.0,0.0
2025-12-19,cloudy,1.9,3,0.0,0.0
2025-12-20,rainy,6.2,55,4.6,0.0
2025-12-21,cloudy,-2.3,3,0.0,0.0
2025-12-22,cloudy,-2.6,3,0.0,0.0
2025-12-23,snow,0.5,73,10.9,1.47
2025-12-24,cloudy,0.7,3,0.0,0.0
2025-12-25,clear,-4.5,0,0.0,0.0
2025-12-26,cloudy,-9.2,3,0.0,0.0
2025-12-27,cloudy,-3.9,3,0.0,0.0
2025-12-28,rainy,1.1,51,0.5,0.0
2025-12-29,rainy,3.3,51,0.4,0.0
2025-12-30,cloudy,-1.8,3,0.0,0.0
2025-12-31,cloudy,-6.0,3,0.0,0.0
